Subseries ccp,,,,,,,,
subseries1,origin,subseries2,origin,subseries3,origin ,,no_control,
GSM1917083,GSE74324,GSM1917086,GSE74324,GSM1917089,GSE74324,,GSE118798,only control knockout in different treatments 
GSM1917084,GSE74324,GSM1917087,GSE74324,GSM1917090,GSE74324,,GSE64016,cell cylcle without any special stuff
GSM1917085,GSE74324,GSM1917088,GSE74324,GSM1917091,GSE74324,,GSE73565,cell cylcle without any special stuff
GSM1917119,GSE74324,GSM1917122,GSE74324,GSM1917125,GSE74324,,,
GSM1917120,GSE74324,GSM1917123,GSE74324,GSM1917126,GSE74324,,,
GSM1917121,GSE74324,GSM1917124,GSE74324,GSM1917127,GSE74324,,,
GSM2238613,GSE84504,GSM2238618,GSE84504,GSM2478441,GSE94570,,,
GSM2238614,GSE84504,GSM2238619,GSE84504,GSM2478442,GSE94570,,,
GSM2238615,GSE84504,GSM2238620,GSE84504,GSM2478443,GSE94570,,,
GSM2238616,GSE84504,GSM2238621,GSE84504,GSM2478444,GSE94570,,,
GSM2238617,GSE84504,GSM2238622,GSE84505,GSM2478445,GSE94570,,,
GSM3488762,GSE122927,GSM3488773,GSE122927,GSM2478446,GSE94570,,,
GSM3488763,GSE122927,GSM3488774,GSE122927,GSM2478447,GSE94570,,,
GSM3488768,GSE122927,GSM3488779,GSE122927,GSM2478448,GSE94570,,,
GSM3488769,GSE122927,GSM3488780,GSE122927,GSM2478449,GSE94570,,,
GSM2949438,GSE109724,GSM2949444,GSE109724,GSM2478450,GSE94570,,,
GSM2949439,GSE109724,GSM2949445,GSE109724,GSM2478451,GSE94570,,,
GSM2949440,GSE109724,GSM2949446,GSE109724,GSM2478452,GSE94570,,,
GSM2949441,GSE109724,GSM2949447,GSE109724,,,,,
GSM2949442,GSE109724,GSM2949448,GSE109724,,,,,
GSM2949443,GSE109724,GSM2949449,GSE109724,,,,,
GSM3428944,GSE121258,GSM3428950,GSE121258,,,,,
GSM3428945,GSE121258,GSM3428951,GSE121258,,,,,
GSM3428946,GSE121258,GSM3428952,GSE121258,,,,,
GSM3428947,GSE121258,GSM3428953,GSE121258,,,,,
GSM3428948,GSE121258,GSM3428954,GSE121258,,,,,
GSM3428949,GSE121258,GSM3428955,GSE121258,,,,,
GSM3683589,GSE128711,GSM3683591,GSE128711,,,,,
GSM3683590,GSE128711,GSM3683592,GSE128711,,,,,
GSM3683597,GSE128711,GSM3683599,GSE128711,,,,,
GSM3683598,GSE128711,GSM3683600,GSE128711,,,,,
GSM3683593,GSE128711,GSM3683595,GSE128711,,,,,
GSM3683594,GSE128711,GSM3683596,GSE128711,,,,,
GSM2478433,GSE94570,GSM2478437,GSE94570,,,,,
GSM2478434,GSE94570,GSM2478438,GSE94570,,,,,
GSM2478435,GSE94570,GSM2478439,GSE94570,,,,,
GSM2478436,GSE94570,GSM2478440,GSE94570,,,,,
GSM2478453,GSE94570,GSM2478457,GSE94570,,,,,
GSM2478454,GSE94570,GSM2478458,GSE94570,,,,,
GSM2478455,GSE94570,GSM2478459,GSE94570,,,,,
GSM2478456,GSE94570,GSM2478460,GSE94570,,,,,