Manually add samples/series,,,,
series,samples,,placebo,palb
GSE126998,GSM3619600,,GSM3619600,GSM3619604
GSE126998,GSM3619601,,GSM3619601,GSM3619605
GSE126998,GSM3619604,,GSM3833393,GSM3833397
GSE126998,GSM3619605,,GSM3833394,GSM3833398
GSE131983,GSM3833393,,GSM3833401,GSM3995060
GSE131983,GSM3833394,,GSM3833402,GSM3995061
GSE131983,GSM3833401,,GSM3995054,GSM3995066
GSE131983,GSM3833402,,GSM3995055,GSM3995067
GSE131983,GSM3833397,,GSM3995076,GSM3995072
GSE131983,GSM3833398,,GSM3995077,GSM3995073
GSE135215,GSM3995054,,GSM4015458,GSM3995082
GSE135215,GSM3995055,,GSM4015459,GSM3995083
GSE135215,GSM3995076,,,GSM4015449
GSE135215,GSM3995077,,,GSM4015450
GSE135215,GSM4015458,,,GSM4015451
GSE135215,GSM4015459,,,GSM4015452
GSE135215,GSM3995060,,,GSM4015468
GSE135215,GSM3995061,,,GSM4015469
GSE135215,GSM3995066,,,GSM4015470
GSE135215,GSM3995067,,,GSM4015471
GSE135215,GSM3995072,,,GSM4015472
GSE135215,GSM3995073,,,GSM4015473
GSE135215,GSM3995082,,,
GSE135215,GSM3995083,,,
GSE135215,GSM4015449,,,
GSE135215,GSM4015450,,,
GSE135215,GSM4015451,,,
GSE135215,GSM4015452,,,
GSE135215,GSM4015468,,,
GSE135215,GSM4015469,,,
GSE135215,GSM4015470,,,
GSE135215,GSM4015471,,,
GSE135215,GSM4015472,,,
GSE135215,GSM4015473,,,