Subseries metastasis,,,,,,,
,,,,,,,
subseries 1,series origin,subseries 2,series origin,subseries 3,series origin,subseries 4,series origin
GSM2139046,GSE80963,GSM2139055,GSE80963,GSM2139064,GSE80963,GSM2139073,GSE80963
GSM2139047,GSE80963,GSM2139056,GSE80963,GSM2139065,GSE80963,GSM2139074,GSE80963
GSM2139048,GSE80963,GSM2139057,GSE80963,GSM2139066,GSE80963,GSM2139075,GSE80963
GSM2139049,GSE80963,GSM2139058,GSE80963,GSM2139067,GSE80963,GSM2139076,GSE80963
GSM2139050,GSE80963,GSM2139059,GSE80963,GSM2139068,GSE80963,GSM2139077,GSE80963
GSM2139051,GSE80963,GSM2139060,GSE80963,GSM2139069,GSE80963,GSM2139078,GSE80963
GSM2139052,GSE80963,GSM2139061,GSE80963,GSM2139070,GSE80963,GSM2139079,GSE80963
GSM2139053,GSE80963,GSM2139062,GSE80963,GSM2139071,GSE80963,GSM2139080,GSE80963
GSM2139054,GSE80963,GSM2139063,GSE80963,GSM2139072,GSE80963,GSM2139081,GSE80963
GSM2676837,GSE100269,GSM2676860,GSE100269,GSM1846904,GSE71854,,
GSM2676838,GSE100269,GSM2676861,GSE100269,GSM1846905,GSE71854,,
GSM2676839,GSE100269,GSM2676862,GSE100269,GSM1846906,GSE71854,,
GSM2676840,GSE100269,GSM2676863,GSE100269,GSM1846907,GSE71854,,
GSM2676841,GSE100269,GSM2676864,GSE100269,GSM1846908,GSE71854,,
GSM2676842,GSE100269,GSM2676865,GSE100269,GSM1846909,GSE71854,,
GSM2676843,GSE100269,GSM2676866,GSE100269,,,,
GSM2676844,GSE100269,GSM2676867,GSE100269,,,,
GSM2676845,GSE100269,GSM2676868,GSE100269,,,,
GSM2676846,GSE100269,GSM2676869,GSE100269,,,,
GSM2676847,GSE100269,GSM2676870,GSE100269,,,,
GSM2676848,GSE100269,GSM2676871,GSE100269,,,,
GSM2676849,GSE100269,GSM2676872,GSE100269,,,,
GSM2676850,GSE100269,GSM2676873,GSE100269,,,,
GSM2676851,GSE100269,GSM2676874,GSE100269,,,,
GSM2676852,GSE100269,GSM2676875,GSE100269,,,,
GSM2676853,GSE100269,GSM2676876,GSE100269,,,,
GSM2676854,GSE100269,GSM2676877,GSE100269,,,,
GSM2676855,GSE100269,GSM2676878,GSE100269,,,,
GSM2676856,GSE100269,GSM2676879,GSE100269,,,,
GSM2676857,GSE100269,GSM2676880,GSE100269,,,,
GSM2676858,GSE100269,GSM2676881,GSE100269,,,,
GSM2676859,GSE100269,GSM2676882,GSE100269,,,,
GSM2676860,GSE100269,GSM2676883,GSE100269,,,,
GSM1846910,GSE71854,GSM2676884,GSE100270,,,,
GSM1846911,GSE71854,GSM3089939,GSE112855,,,,
GSM1846912,GSE71854,GSM3089940,GSE112855,,,,
GSM1846913,GSE71854,GSM3089941,GSE112855,,,,
GSM1846914,GSE71854,GSM3089944,GSE112855,,,,
GSM1846915,GSE71854,GSM3089945,GSE112855,,,,
GSM3004406,GSE110626,GSM3089946,GSE112855,,,,
GSM3004407,GSE110626,GSM1846916,GSE71854,,,,
GSM3004408,GSE110626,GSM1846917,GSE71854,,,,
GSM3004415,GSE110626,GSM1846918,GSE71854,,,,
,,GSM1846919,GSE71854,,,,
,,GSM1846920,GSE71854,,,,
,,GSM1846921,GSE71854,,,,