series	sample	original_series	condition
5	GSE74620	GSM1924562	GSE74620	placebo
6	GSE74620	GSM1924563	GSE74620	placebo
7	GSE74620	GSM1924564	GSE74620	placebo
11	GSE74620	GSM1924568	GSE74620	Palbociclib
12	GSE74620	GSM1924569	GSE74620	Palbociclib
13	GSE74620	GSM1924570	GSE74620	Palbociclib
14	GSE116187	GSM3212773	GSE116187	placebo
15	GSE116187	GSM3212774	GSE116187	placebo
16	GSE116187	GSM3212775	GSE116187	placebo
17	GSE116187	GSM3212776	GSE116187	BSJ.03.123
18	GSE116187	GSM3212777	GSE116187	BSJ.03.123
19	GSE116187	GSM3212778	GSE116187	BSJ.03.123
20	GSE116187	GSM3212779	GSE116187	YKL.06.102
21	GSE116187	GSM3212780	GSE116187	YKL.06.102
22	GSE116187	GSM3212781	GSE116187	YKL.06.102
23	GSE116187	GSM3212782	GSE116187	Palbociclib
24	GSE116187	GSM3212783	GSE116187	Palbociclib
25	GSE116187	GSM3212784	GSE116187	Palbociclib
66	GSE130437	GSM3738651	GSE130437	Palbociclib.resistant
67	GSE130437	GSM3738652	GSE130437	Palbociclib.resistant
68	GSE130437	GSM3738653	GSE130437	Palbociclib.resistant
69	GSE130437	GSM3738654	GSE130437	placebo
70	GSE130437	GSM3738655	GSE130437	placebo
71	GSE130437	GSM3738656	GSE130437	placebo
72	GSE130437	GSM3738657	GSE130437	Palbociclib.resistant
73	GSE130437	GSM3738658	GSE130437	Palbociclib.resistant
74	GSE130437	GSM3738659	GSE130437	Palbociclib.resistant
75	GSE130437	GSM3738660	GSE130437	placebo
76	GSE130437	GSM3738661	GSE130437	placebo
77	GSE130437	GSM3738662	GSE130437	placebo
78	GSE115976	GSM3197096	GSE115976	placebo
79	GSE115976	GSM3197097	GSE115976	Palbociclib
80	GSE115976	GSM3197098	GSE115976	placebo
81	GSE115976	GSM3197099	GSE115976	Palbociclib
470	GSE120920	GSM3421179	GSE120920	placebo
471	GSE120920	GSM3421180	GSE120920	placebo
472	GSE120920	GSM3421181	GSE120920	placebo
473	GSE120920	GSM3421182	GSE120920	placebo
474	GSE120920	GSM3421183	GSE120920	placebo
475	GSE120920	GSM3421184	GSE120920	placebo
494	GSE120920	GSM3421203	GSE120920	placebo
495	GSE120920	GSM3421204	GSE120920	placebo
502	GSE120920	GSM3421211	GSE120920	Palbociclib
503	GSE120920	GSM3421212	GSE120920	Palbociclib
504	GSE120920	GSM3421213	GSE120920	Palbociclib
512	GSE120920	GSM3421221	GSE120920	Palbociclib
513	GSE120920	GSM3421222	GSE120920	Palbociclib
517	GSE120920	GSM3421227	GSE120920	placebo
518	GSE120920	GSM3421228	GSE120920	placebo
541	GSE120920	GSM3421251	GSE120920	placebo
542	GSE120920	GSM3421252	GSE120920	placebo
565	GSE120920	GSM3421275	GSE120920	placebo
566	GSE120920	GSM3421276	GSE120920	placebo
589	GSE120920	GSM3421300	GSE120920	placebo
590	GSE120920	GSM3421301	GSE120920	placebo
595	GSE120920	GSM3421306	GSE120920	Palbociclib
596	GSE120920	GSM3421307	GSE120920	Palbociclib
597	GSE120920	GSM3421308	GSE120920	Palbociclib
605	GSE120920	GSM3421316	GSE120920	Palbociclib
606	GSE120920	GSM3421317	GSE120920	Palbociclib
607	GSE120920	GSM3421318	GSE120920	Palbociclib
612	GSE120920	GSM3421323	GSE120920	placebo
613	GSE120920	GSM3421324	GSE120920	placebo
637	GSE120920	GSM3421348	GSE120920	placebo
638	GSE120920	GSM3421349	GSE120920	placebo
659	GSE120920	GSM3421371	GSE120920	placebo
660	GSE120920	GSM3421372	GSE120920	placebo
683	GSE120920	GSM3421395	GSE120920	placebo
684	GSE120920	GSM3421396	GSE120920	placebo
689	GSE120920	GSM3421401	GSE120920	Palbociclib
690	GSE120920	GSM3421402	GSE120920	Palbociclib
691	GSE120920	GSM3421403	GSE120920	Palbociclib
699	GSE120920	GSM3421411	GSE120920	Palbociclib
700	GSE120920	GSM3421412	GSE120920	Palbociclib
701	GSE120920	GSM3421413	GSE120920	Palbociclib
707	GSE120920	GSM3421419	GSE120920	placebo
708	GSE120920	GSM3421420	GSE120920	placebo
731	GSE120920	GSM3421443	GSE120920	placebo
732	GSE120920	GSM3421444	GSE120920	placebo
755	GSE120920	GSM3421467	GSE120920	placebo
756	GSE120920	GSM3421468	GSE120920	placebo
779	GSE120920	GSM3421492	GSE120920	placebo
782	GSE120920	GSM3421496	GSE120920	Palbociclib
783	GSE120920	GSM3421497	GSE120920	Palbociclib
784	GSE120920	GSM3421498	GSE120920	Palbociclib
792	GSE120920	GSM3421506	GSE120920	Palbociclib
793	GSE120920	GSM3421507	GSE120920	Palbociclib
794	GSE120920	GSM3421508	GSE120920	Palbociclib
801	GSE120920	GSM3421516	GSE120920	placebo
822	GSE120920	GSM3421538	GSE120920	placebo
823	GSE120920	GSM3421539	GSE120920	placebo
824	GSE120920	GSM3421540	GSE120920	placebo
836	GSE99116	GSM2633613	GSE99116	placebo
838	GSE99116	GSM2633615	GSE99116	abemaciclib
839	GSE99116	GSM2633616	GSE99116	abemaciclib
841	GSE99116	GSM2633618	GSE99116	Palbociclib
843	GSE99116	GSM2633620	GSE99116	ribociclib
844	GSE99116	GSM2633621	GSE99116	placebo
846	GSE99116	GSM2633623	GSE99116	abemaciclib
847	GSE99116	GSM2633624	GSE99116	abemaciclib
849	GSE99116	GSM2633626	GSE99116	Palbociclib
851	GSE99116	GSM2633628	GSE99116	ribociclib
852	GSE99116	GSM2633629	GSE99116	placebo
854	GSE99116	GSM2633631	GSE99116	abemaciclib
855	GSE99116	GSM2633632	GSE99116	abemaciclib
857	GSE99116	GSM2633634	GSE99116	Palbociclib
859	GSE99116	GSM2633636	GSE99116	ribociclib
860	GSE99116	GSM2633637	GSE99116	placebo
862	GSE99116	GSM2633639	GSE99116	abemaciclib
863	GSE99116	GSM2633640	GSE99116	abemaciclib
865	GSE99116	GSM2633642	GSE99116	Palbociclib
867	GSE99116	GSM2633644	GSE99116	ribociclib
869	GSE99116	GSM2633647	GSE99116	abemaciclib
870	GSE99116	GSM2633648	GSE99116	abemaciclib
872	GSE99116	GSM2633650	GSE99116	Palbociclib
874	GSE99116	GSM2633652	GSE99116	ribociclib
875	GSE99116	GSM2633653	GSE99116	placebo
877	GSE99116	GSM2633655	GSE99116	abemaciclib
878	GSE99116	GSM2633656	GSE99116	abemaciclib
880	GSE99116	GSM2633658	GSE99116	Palbociclib
882	GSE99116	GSM2633660	GSE99116	ribociclib
943	GSE99116	GSM2633721	GSE99116	placebo
945	GSE99116	GSM2633723	GSE99116	abemaciclib
946	GSE99116	GSM2633724	GSE99116	abemaciclib
948	GSE99116	GSM2633726	GSE99116	Palbociclib
950	GSE99116	GSM2633728	GSE99116	ribociclib
951	GSE99116	GSM2633729	GSE99116	placebo
953	GSE99116	GSM2633731	GSE99116	abemaciclib
954	GSE99116	GSM2633732	GSE99116	abemaciclib
955	GSE130903	GSM3755986	GSE130903	Palbociclib
956	GSE130903	GSM3755987	GSE130903	Palbociclib
957	GSE130903	GSM3755988	GSE130903	Palbociclib
961	GSE130903	GSM3755992	GSE130903	placebo
962	GSE130903	GSM3755993	GSE130903	placebo
963	GSE130903	GSM3755994	GSE130903	placebo
1664	GSE110397	GSM2990626	GSE110397	placebo
1666	GSE110397	GSM2990628	GSE110397	Palbociclib
1668	GSE110397	GSM2990630	GSE110397	placebo
1670	GSE110397	GSM2990632	GSE110397	Palbociclib
1672	GSE110397	GSM2990634	GSE110397	placebo
1674	GSE110397	GSM2990636	GSE110397	Palbociclib
1676	GSE110397	GSM2990638	GSE110397	placebo
1678	GSE110397	GSM2990640	GSE110397	Palbociclib
1680	GSE110397	GSM2990642	GSE110397	placebo
1682	GSE110397	GSM2990644	GSE110397	Palbociclib
1684	GSE110397	GSM2990646	GSE110397	placebo
1686	GSE110397	GSM2990648	GSE110397	Palbociclib
1688	GSE110397	GSM2990650	GSE110397	placebo
1689	GSE110397	GSM2990651	GSE110397	placebo
1692	GSE110397	GSM2990654	GSE110397	Palbociclib
1693	GSE110397	GSM2990655	GSE110397	Palbociclib
1696	GSE110397	GSM2990658	GSE110397	placebo
1697	GSE110397	GSM2990659	GSE110397	placebo
1700	GSE110397	GSM2990662	GSE110397	Palbociclib
1701	GSE110397	GSM2990663	GSE110397	Palbociclib
1704	GSE110397	GSM2990666	GSE110397	placebo
1705	GSE110397	GSM2990667	GSE110397	placebo
1710	GSE110397	GSM2990672	GSE110397	Palbociclib
1711	GSE110397	GSM2990673	GSE110397	Palbociclib
1714	GSE120298	GSM3397836	GSE120298	placebo
1715	GSE120298	GSM3397837	GSE120298	Palbociclib
1716	GSE133568	GSM3912202	GSE133568	placebo
1717	GSE133568	GSM3912203	GSE133568	placebo
1718	GSE133568	GSM3912204	GSE133568	Palbociclib
1719	GSE133568	GSM3912205	GSE133568	Palbociclib
1722	GSE128056	GSM3660965	GSE128056	placebo
1723	GSE128056	GSM3660966	GSE128056	placebo
1724	GSE128056	GSM3660967	GSE128056	placebo
1725	GSE128056	GSM3660968	GSE128056	Palbociclib.resistant
1726	GSE128056	GSM3660969	GSE128056	Palbociclib.resistant
1727	GSE128056	GSM3660970	GSE128056	Palbociclib.resistant
1728	GSE128056	GSM3660971	GSE128056	Palbociclib.resistant
